                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7305,                 3.3659,                 2.2277,                0.04286,                0.41667,                0.03967,                0.01288,                 2.7776,                 6.8189,                 1.3329,                 0.0002,                 0.0002,                 0.0002
                      1,                 2.4511,                 2.9077,                 1.9476,                0.05667,                0.55093,                0.06728,                0.02538,                 2.5097,                 6.3952,                 1.2404,             0.00041792,             0.00041792,             0.00041792
                      2,                  2.371,                 2.4456,                 1.8468,                0.05952,                 0.5787,                0.11618,                0.04702,                 2.3526,                 6.0852,                 1.1647,             0.00063366,             0.00063366,             0.00063366
