Item,Gluten-Free
Chocolate Chips Bluebe Belgian Uolfe Served,1
Syrup,1
Butter Bekgian Wo Cixi,1
Coast Served,1
Syrup,1
Butter Three Thick Cut Slices,1
Short Stack,1
Cherry Topping Three Egg Omelette Served,1
Bagel,1
Egg Whites,1
Plain Omelette,1
Pastrami Omelette,1
Omelette Kosher Salami,1
Reuben Onrelette,1
Athena Omelette,1
Bagel Pagers,1
Cheese,1
Egg Whites Fruit Salad,1
Bagel LAD Tonal Onion Ghose Chace Fruit Pale of Potatoes Toastion Bagel,1
Sausage Bacon Mushrooms Onions Peppers Cheese and Potatoes Toast,1
Bagel South,1
the Border Onelette Bacon Avocado,1
Monterey Jack Cheese,1
Salsa,1
Creamed Chip ed Beef Served Over Toast,1
Syrup,1
Jelly Consuming,1
GIN TONIC,1
Eden Mill,1
Fever Tree Elderflower Tonic Amalfi Lemon,1
Strawberry G T Beefeater Pink,1
Japanese,1
Spritz Malfy,1
FIOL,1
The Tea Party,1
No Gin earl grey,1
Fever Tree Light Tonic,1
Chandon,1
Garden Spritz,1
Green Chartreuse,1
US,1
BOTTOMLESS BRUNCH EVERY,1
WEEKEND,1
minutes,1
Saturday,1
Sunday,1
Devaux Coeur Des Bar Glass,1
Blanc de Noir Champagne,1
France,1
Ponsardin Brut,1
Tamarind Spiced Chicken,1
Spring,1
Burata Red,1
basil pane,1
SALADS Caesar Salad Small Large Soft,1
Parmesan,1
quinoa mango radish,1
SIDES Koffmann s Fries Macaroni Cheese Roasted,1
Mixed Leaf Salad Cherry,1
Buttered Spinach Nutmeg Bread Butter,1
Spiced Fried Cauliflower Coconut,0
Prawn Cocktail Cucumber,1
Spicy Tuna Tartare Avocado,1
Crispy Duck Salad Small Large Watercress,1
Avocado Hallourni Chicken Smoked,1
Honey Roasted Carrots MAINS Steamed Sea Bream Green,1
ras el,1
Butter Chicken,1
Curry Saffron,1
Lamb Rogan Josh Saffron,1
Chips Mushy,1
SUSHI California Roll Snow,1
Roasted Cod Crushed,1
Aubergine Tofu,1
Burger Dry,1
Monterey Jack,1
Koffmann,1
Avocado Streaky,1
ENJOY,1
RAMSAY,1
Yorkshire,1
Monkey,1
Cranachan,1
Strawberry,1
Sticky Toffee,1
Biscoff,1
Selection,1
British,1
WELLINGTON,1
Beef Wellington,1
two,1
creamy mashed potato red,1
British,1
Himalayan Salt,1
a minimum of,1
today,1
Sirloin Per Bone,1
GRILL,1
